city_code,community_id,merchant_count,anchor_count,anchor_merchants
shanghai,523,5,3,0030193|0030171|0030170
shanghai,524,5,3,0031389|0031370|0031371
shanghai,525,5,3,0031837|0132481|0132485
shanghai,526,5,3,0032248|0032214|0032226
shanghai,527,5,3,0034135|0034137|0034128
shanghai,528,5,3,0034550|0034555|0034554
shanghai,529,5,3,0035330|0088734|0035300
shanghai,530,5,3,0035684|0175085|0143457
shanghai,531,5,3,0084482|0038067|0086079
shanghai,532,5,3,0161225|0161226|0218217
shanghai,533,5,3,0147706|0091016|0177510
shanghai,534,5,3,0092161|0089686|0089304
shanghai,535,5,3,0041347|0089227|0041358
shanghai,536,5,3,0090721|0090679|0060738
shanghai,537,5,3,0132647|0096533|0042946
shanghai,538,5,3,0064658|0086859|0064670
shanghai,539,5,3,0089480|0088503|0045789
shanghai,540,5,3,0049177|0130302|0049148
shanghai,541,5,3,0049669|0049676|0049665
shanghai,542,5,3,0198422|0050694|0050671
shanghai,543,5,3,0051553|0051523|0051544
shanghai,544,5,3,0051752|0051751|0166681
shanghai,545,5,3,0051846|0051884|0051880
shanghai,546,5,3,0155560|0172731|0055556
shanghai,547,5,3,0089053|0089435|0132759
shanghai,548,5,3,0089375|0089755|0092612
shanghai,549,5,3,0164209|0097037|0097038
shanghai,550,5,3,0145639|0150584|0146533
shanghai,551,5,3,0063241|0063238|0073505
shanghai,552,5,3,0064542|0074826|0074825
